episode,reward
1,2.5644
2,0.0
3,0.0
4,0.0
5,0.4522
6,0.0
7,0.8929
8,2.4682
9,2.5686
10,0.0
11,4.3476
12,2.4918
13,2.7212
14,0.2283
15,0.8672
16,0.2613
17,0.0
18,0.0
19,0.6549
20,0.9815
21,2.7822
22,2.5404
23,0.0
24,0.0
25,0.0
26,0.7041
27,0.0
28,0.8924
29,0.4424
30,3.652
