episode,reward
1,3.6364
2,0.0
3,1.5154
4,0.0
5,1.4882
6,0.0
7,0.0
8,2.5042
9,1.6229
10,0.0
11,0.0
12,3.6337
13,4.8563
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,3.8815
20,1.5955
21,4.9555
22,3.7426
23,5.2798
24,0.458
25,0.7628
26,0.7528
27,4.2692
28,1.6406
29,1.4904
30,2.588
